Colony: Gambia
Year: 1914
Section: Imports
Type: statistics
---
### Imports

| Year | From U.K. | From Colonies | Elsewhere | Total |
|------|-----------|---------------|-----------|-------|
| 1903 | £142,560  | £48,007       | £150,495  | £341,063 |
| 1904 | 109,888   | 71,865        | 124,397   | 306,149 |
| 1905 | 113,398   | 40,764        | 151,019   | 305,181 |
| 1906 | 197,421   | 43,442        | 206,794   | 447,657 |
| 1907 | 186,356   | 63,536        | 195,467   | 445,359 |
| 1908 | 133,825   | 83,194        | 173,721   | 390,740 |
| 1909 | 187,546   | 62,037        | 154,977   | 404,560 |
| 1910 | 233,737   | 66,710        | 278,636   | 578,983 |
| 1911 | 272,501   | 74,513        | 460,104   | 807,118 |
| 1912 | 269,896   | 87,730        | 399,227   | 766,853 |
