Colony: Sierra Leone
Year: 1913
Section: FINANCES.
Type: statistics
---
**FINANCES.**

| Year | Revenue | Expenditure | British Tonnage | Total Tonnage |
|------|---------|-------------|-----------------|---------------|
| 1902 | 205,765 | 184,940     | 1,153,867       | 1,467,388     |
| 1903 | 237,730 | 206,464     | 1,354,590       | 1,888,357     |
| 1904 | 240,472 | 237,892     | 1,280,091       | 1,595,914     |
| 1905 | 251,523 | 295,490     | 1,267,178       | 1,616,272     |
| 1906 | 306,074 | 285,661     | 1,302,760       | 1,684,736     |
| 1907 | 389,104 | 345,567     | 1,456,906       | 1,890,531     |
| 1908 | 321,000 | 341,871     | 1,588,145       | 2,046,152     |
| 1909 | 361,326 | 336,746     | 1,626,528       | 2,191,132     |
| 1910 | 424,215 | 361,222     | 1,543,924       | 1,994,290     |
| 1911 | 457,759 | 432,448     | 1,655,837       | 2,487,577     |
